20230711_160045 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160046 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160047 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160048 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160049 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160050 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160051 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160052 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160053 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160054 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160055 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160056 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160057 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160058 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160100 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160101 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160102 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160103 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160104 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160105 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160106 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160107 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160108 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160109 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160110 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160111 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160112 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160113 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160114 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160115 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160116 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160117 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160119 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160120 Camera 0 Event. State is ['Sitting', 'Standing']. 
20230711_160121 Camera 0 Event. State is ['Sitting', 'Standing']. 
